STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
TLD,E,16,RAINTIP,20180506 2300,20180506 2300,31.22, ,INCHES
TLD,E,16,RAINTIP,20180507 0000,20180507 0000,31.22, ,INCHES
TLD,E,16,RAINTIP,20180507 0100,20180507 0100,31.22, ,INCHES
TLD,E,16,RAINTIP,20180507 0200,20180507 0200,31.22, ,INCHES
TLD,E,16,RAINTIP,20180507 0300,20180507 0300,31.22, ,INCHES
TLD,E,16,RAINTIP,20180507 0400,20180507 0400,31.22, ,INCHES
TLD,E,16,RAINTIP,20180507 0500,20180507 0500,31.22, ,INCHES
TLD,E,16,RAINTIP,20180507 0600,20180507 0600,31.22, ,INCHES
TLD,E,16,RAINTIP,20180507 0700,20180507 0700,31.22, ,INCHES
TLD,E,16,RAINTIP,20180507 0800,20180507 0800,31.22, ,INCHES
TLD,E,16,RAINTIP,20180507 0900,20180507 0900,31.22, ,INCHES
TLD,E,16,RAINTIP,20180507 1000,20180507 1000,31.22, ,INCHES
TLD,E,16,RAINTIP,20180507 1100,20180507 1100,31.22, ,INCHES
TLD,E,16,RAINTIP,20180507 1200,20180507 1200,31.22, ,INCHES
TLD,E,16,RAINTIP,20180507 1300,20180507 1300,31.22, ,INCHES
TLD,E,16,RAINTIP,20180507 1400,20180507 1400,31.22, ,INCHES
TLD,E,16,RAINTIP,20180507 1500,20180507 1500,31.22, ,INCHES
TLD,E,16,RAINTIP,20180507 1600,20180507 1600,31.22, ,INCHES
TLD,E,16,RAINTIP,20180507 1700,20180507 1700,31.22, ,INCHES
TLD,E,16,RAINTIP,20180507 1800,20180507 1800,31.22, ,INCHES
TLD,E,16,RAINTIP,20180507 1900,20180507 1900,31.22, ,INCHES
TLD,E,16,RAINTIP,20180507 2000,20180507 2000,31.22, ,INCHES
TLD,E,16,RAINTIP,20180507 2100,20180507 2100,31.22, ,INCHES
TLD,E,16,RAINTIP,20180507 2200,20180507 2200,31.22, ,INCHES
TLD,E,16,RAINTIP,20180507 2300,20180507 2300,31.22, ,INCHES
TLD,E,16,RAINTIP,20180508 0000,20180508 0000,31.22, ,INCHES
TLD,E,16,RAINTIP,20180508 0100,20180508 0100,31.22, ,INCHES
TLD,E,16,RAINTIP,20180508 0200,20180508 0200,31.22, ,INCHES
TLD,E,16,RAINTIP,20180508 0300,20180508 0300,31.22, ,INCHES
TLD,E,16,RAINTIP,20180508 0400,20180508 0400,31.22, ,INCHES
TLD,E,16,RAINTIP,20180508 0500,20180508 0500,31.22, ,INCHES
TLD,E,16,RAINTIP,20180508 0600,20180508 0600,31.22, ,INCHES
TLD,E,16,RAINTIP,20180508 0700,20180508 0700,31.22, ,INCHES
TLD,E,16,RAINTIP,20180508 0800,20180508 0800,31.22, ,INCHES
TLD,E,16,RAINTIP,20180508 0900,20180508 0900,31.22, ,INCHES
TLD,E,16,RAINTIP,20180508 1000,20180508 1000,31.22, ,INCHES
TLD,E,16,RAINTIP,20180508 1100,20180508 1100,31.22, ,INCHES
TLD,E,16,RAINTIP,20180508 1200,20180508 1200,31.22, ,INCHES
TLD,E,16,RAINTIP,20180508 1300,20180508 1300,31.22, ,INCHES
TLD,E,16,RAINTIP,20180508 1400,20180508 1400,31.22, ,INCHES
TLD,E,16,RAINTIP,20180508 1500,20180508 1500,31.22, ,INCHES
TLD,E,16,RAINTIP,20180508 1600,20180508 1600,31.22, ,INCHES
TLD,E,16,RAINTIP,20180508 1700,20180508 1700,31.22, ,INCHES
TLD,E,16,RAINTIP,20180508 1800,20180508 1800,31.22, ,INCHES
TLD,E,16,RAINTIP,20180508 1900,20180508 1900,31.22, ,INCHES
TLD,E,16,RAINTIP,20180508 2000,20180508 2000,31.22, ,INCHES
TLD,E,16,RAINTIP,20180508 2100,20180508 2100,31.22, ,INCHES
TLD,E,16,RAINTIP,20180508 2200,20180508 2200,31.22, ,INCHES
TLD,E,16,RAINTIP,20180508 2300,20180508 2300,31.22, ,INCHES
TLD,E,16,RAINTIP,20180509 0000,20180509 0000,31.22, ,INCHES
TLD,E,16,RAINTIP,20180509 0100,20180509 0100,31.22, ,INCHES
TLD,E,16,RAINTIP,20180509 0200,20180509 0200,31.22, ,INCHES
TLD,E,16,RAINTIP,20180509 0300,20180509 0300,31.22, ,INCHES
TLD,E,16,RAINTIP,20180509 0400,20180509 0400,31.22, ,INCHES
TLD,E,16,RAINTIP,20180509 0500,20180509 0500,31.22, ,INCHES
TLD,E,16,RAINTIP,20180509 0600,20180509 0600,31.22, ,INCHES
TLD,E,16,RAINTIP,20180509 0700,20180509 0700,31.22, ,INCHES
TLD,E,16,RAINTIP,20180509 0800,20180509 0800,31.22, ,INCHES
TLD,E,16,RAINTIP,20180509 0900,20180509 0900,31.22, ,INCHES
TLD,E,16,RAINTIP,20180509 1000,20180509 1000,31.22, ,INCHES
TLD,E,16,RAINTIP,20180509 1100,20180509 1100,31.22, ,INCHES
TLD,E,16,RAINTIP,20180509 1200,20180509 1200,31.22, ,INCHES
TLD,E,16,RAINTIP,20180509 1300,20180509 1300,31.22, ,INCHES
TLD,E,16,RAINTIP,20180509 1400,20180509 1400,31.22, ,INCHES
TLD,E,16,RAINTIP,20180509 1500,20180509 1500,31.22, ,INCHES
