"","x"
"809",0.52
"810",0.52
"811",0.52
"812",0.52
"813",0.52
"814",0.52
"815",0.52
"816",0.52
"817",0.52
"818",0.528
"819",0.552592592592593
"820",0.5688
"821",0.5776
"822",0.58
"823",0.58
"824",0.58
"825",0.62
"826",0.664814814814815
"827",0.67
"828",0.67
"829",0.67
"830",0.682
"831",0.69
"832",0.69
"833",0.69
"834",0.69
"835",0.69
"836",0.69
"837",0.69
"838",0.69
"839",0.6976
"840",0.7
"841",0.716153846153846
"842",0.72
"843",0.72
"844",0.72
"845",0.72
"846",0.72
"847",0.744074074074074
"848",0.767307692307692
"849",0.77
"850",0.77
"851",0.77
"852",0.77
"853",0.77
"854",0.77
"855",0.77
"856",0.77
"857",0.77
"858",0.77
"859",0.77
"860",0.77
"861",0.77
"862",0.77
"863",0.77
"864",0.77
"865",0.77
"866",0.77
"867",0.77
"868",0.77
"869",0.77
"870",0.77
"871",0.77
"872",0.77
"873",0.77
"874",0.77
"875",0.77
"876",0.77
"877",0.77
"878",0.77
"879",0.77
"880",0.77
"881",0.77
"882",0.77
"883",0.7708
"884",0.836875
"885",0.8708
"886",0.8892
"887",0.89
"888",0.89
"889",0.89
"890",0.89
"891",0.89
"892",0.89
"893",0.89
"894",0.89
"895",0.89
"896",0.89
"897",0.89
"898",0.89
"899",0.896
"900",0.915384615384615
"901",0.92
"902",0.92
"903",0.92
"904",0.92
"905",0.92
"906",0.92
"907",0.92
"908",0.92
"909",0.92
"910",0.92
"911",0.92
"912",0.92
"913",0.92
"914",0.92
"915",0.92
"916",0.9204
"917",0.9388
"918",0.94
"919",1.0576
"920",1.2268
"921",1.23
"922",1.23
"923",1.57369565217391
"924",2.23017857142857
"925",2.3968
"926",2.4
"927",2.4
"928",2.4
"929",2.4
"930",2.4
"931",2.4072
"932",2.41
"933",2.41
"934",2.41
"935",2.41
"936",2.41
"937",2.41
"938",2.41
"939",2.41
"940",2.41
"941",2.41
"942",2.41
"943",2.41
"944",2.41
"945",2.41
"946",2.41
"947",2.52666666666667
"948",2.83705882352941
"949",3.38571428571429
"950",3.87
"951",3.87
"952",3.88387096774194
"953",4.31379746835443
"954",4.52
"955",4.52
"956",4.52
"957",4.52
"958",4.52
"959",4.52
"960",4.52
"961",4.88415841584158
"962",5.35461538461538
"963",5.36
"964",5.39178571428571
"965",5.4
"966",5.49320754716981
"967",5.80176470588235
"968",5.82
"969",6.00207547169811
"970",6.13
"971",6.32984848484849
"972",6.68704545454545
"973",6.78961538461538
"974",6.82423076923077
"975",6.86259259259259
"976",6.87
"977",6.87
"978",6.87
"979",6.87
"980",6.87
"981",6.87
"982",6.87
"983",6.87
"984",6.87
"985",6.87
"986",6.87
"987",6.87
"988",6.87
"989",7.07618181818182
"990",7.24
"991",7.37111111111111
"992",7.57
